38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1997,1998,1999
,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan
KALIMANTAN BARAT,4.23,4.84,8.57,6.53,7.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.52,1.27,1.67,1.55,1.5,1,1.23,1.11,2.34,3.43,3.61,3.65,2.02
KALIMANTAN TENGAH,3.7,6.14,6.38,7.59,5.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.17,0.63,1.53,1.16,1.64,0.88,1.31,1.24,4.4,3,3.98,4.49,3.67
KALIMANTAN SELATAN,3.97,5.91,9.22,7.67,6.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.99,1.32,1.29,1.69,1.6,2,2.35,2.39,2.96,3.33,2.84,4.16,2.37
KALIMANTAN TIMUR,8.88,6.81,11.76,9.69,10.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8,3.87,4.53,3.11,3.23,3.53,4.6,3.98,7.34,7.6,6.85,8.45,10.99
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,8.66,10.21,11.35,10.79,10.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.09,2.68,3.48,4.6,3.27,3.52,4.69,5.02,8.38,9.24,8.02,5.48,7.75
SULAWESI TENGAH,5.09,8.25,8.06,4.64,5.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.49,2.32,1.8,2.31,2.31,3.05,2.33,2.46,4.83,4.84,3.77,5,4.39
SULAWESI SELATAN,6.44,10.39,12.29,17.32,15.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.37,1.64,2.07,2.46,2.42,2.72,3.74,3.72,5.3,5.33,4.48,5.25,6.48
SULAWESI TENGGARA,3.1,7.51,8.33,10.3,9.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.53,1.08,1.39,1.29,1.4,1.79,2.08,2.23,3.35,3.66,2.48,2.56,4.36
GORONTALO,-,7.78,13.17,10.17,12.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
